url,type_boit,type_carburant,kilometrage,marke,model,puissance,price
https://www.avito.ma/fr/saniat_rmal/voitures_d'occasion/SEAT_ATECA_FR_54643521.htm,Automatique,Diesel,60 000 - 64 999,Seat,Ateca,8 CV,
https://www.avito.ma/fr/hay_targa/voitures_d'occasion/Mitsubishi_Lancer_55333596.htm,Automatique,Essence,190 000 - 199 999,Mitsubishi,Lancer,7 CV,52 000 DH
https://www.avito.ma/fr/2_mars/voitures_de_location/Location_de_Citroën_ami__55830126.htm,,,,,,,
https://www.avito.ma/fr/centre_ville/voitures_d'occasion/Volkswagen_Golf_7_tdi_2_0L_56060774.htm,Automatique,Diesel,200 000 - 249 999,Volkswagen,Golf 7,8 CV,163 000 DH
https://www.avito.ma/fr/zitoune/voitures_d'occasion/Renault_CLIO_5_56232943.htm,Manuelle,Diesel,90 000 - 94 999,Renault,Clio,7 CV,145 000 DH
https://www.avito.ma/fr/aïn_borja/voitures_d'occasion/Dacia_Sandero__56067642.htm,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,6 CV,
https://www.avito.ma/fr/oued_fès/voitures_d'occasion/Dacia_Dokker_tt_option_2019_56210269.htm,Manuelle,Diesel,200 000 - 249 999,MG,HS Phev,6 CV,109 000 DH
https://www.avito.ma/fr/maarif/voitures_d'occasion/Renault_Express_Diesel_Manuelle_2022_à_Casablanca_56287025.htm,Manuelle,Diesel,75 000 - 79 999,Renault,Express,6 CV,
https://www.avito.ma/fr/casablanca_finance_city/voitures_d'occasion/Bmw_x6__2018_55546119.htm,Automatique,Diesel,110 000 - 119 999,BMW,X6,12 CV,
https://www.avito.ma/fr/hay_el_fath/voitures_d'occasion/volkswagen_coccinelle__56258217.htm,Automatique,Diesel,50 000 - 54 999,Volkswagen,Coccinelle,8 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Voiture_de_location_a_bas_prix__55827644.htm,,,,,,,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Fiat_Fiorino_clim_1iére_main__56287165.htm,Manuelle,Diesel,30 000 - 34 999,Fiat,Fiorino,5 CV,135 000 DH
https://www.avito.ma/fr/derb_ghalef/voitures_d'occasion/hyundai__56291762.htm,Manuelle,Diesel,450 000 - 499 999,Hyundai,Tucson,6 CV,218 000 DH
