url,type_boit,type_carburant,kilometrage,marke,model,puissance,price,has_abs,has_airbags,has_bluetooth_audio,has_rear_camera,has_ac,has_esp,has_alloy_wheels,has_speed_limiter,has_trip_computer,has_parking_sensor,has_cruise_control,has_leather_seats,has_gps,has_sunroof,has_remote_locking,has_power_windows
https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Volkswagen_Polo_54848004.htm,Manuelle,Diesel,20 000 - 24 999,Volkswagen,Polo,8 CV,52 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/al_wifaq/voitures_d'occasion/Audi_Q5_Diesel_Automatique_2020_à_Agadir_54848002.htm,Automatique,Diesel,85 000 - 89 999,Audi,Q5,8 CV,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
https://www.avito.ma/fr/beauséjour/voitures_d'occasion/Peugeot_107_54847989.htm,Manuelle,Essence,200 000 - 249 999,Peugeot,107,6 CV,54 000 DH,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
https://www.avito.ma/fr/wafa/voitures_d'occasion/VW_t_roc_2021_54847984.htm,Automatique,Diesel,35 000 - 39 999,Volkswagen,T-Roc,8 CV,310 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/fquih_ben_saleh/voitures_d'occasion/Mitsubishi_l200_54847943.htm,Manuelle,Diesel,400 000 - 449 999,Mitsubishi,Pick up,10 CV,130 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/khemisset/voitures_d'occasion/Peugeot__tepee_54847920.htm,Manuelle,Diesel,95 000 - 99 999,Peugeot,Tepee,6 CV,85 000 DH,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
https://www.avito.ma/fr/ahlane/voitures_d'occasion/golf_4_2002dwn2005_clima_digitale__54847908.htm,Manuelle,Diesel,250 000 - 299 999,Volkswagen,Golf 4,8 CV,75 000 DH,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d'occasion/Mercedes_Benz_automatique__54847883.htm,Automatique,Diesel,250 000 - 299 999,Mercedes-Benz,220,9 CV,78 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
https://www.avito.ma/fr/cité_adrar/voitures_d'occasion/snagyoung_korando_54847880.htm,Manuelle,Diesel,10 000 - 14 999,Ssangyong,Korando,8 CV,75 000 DH,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
https://www.avito.ma/fr/lissasfa/voitures_d'occasion/Fiat_Uno_Essence_Manuelle_1990_à_Casablanca_54847878.htm,Manuelle,Essence,250 000 - 299 999,Fiat,Uno,6 CV,15 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/agdal/voitures_d'occasion/Peugeot_206_2001_54847874.htm,Manuelle,Diesel,55 000 - 59 999,Peugeot,206,7 CV,45 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/essaouira/voitures_d'occasion/Toyota_Land_cruiser_lj70_54848414.htm,Manuelle,Diesel,200 000 - 249 999,Toyota,Land Cruiser,10 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Skoda_Octavia_BVA_54847844.htm,Automatique,Diesel,110 000 - 119 999,Skoda,Octavia,8 CV,188 000 DH,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
https://www.avito.ma/fr/jorf_el_melha/voitures_d'occasion/renault__54847771.htm,Manuelle,Diesel,5 000 - 9 999,Renault,Express,7 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/souk_sebt_ouled_nemma/voitures_d'occasion/_Diesel_Manuelle_2013_2023_54847789.htm,Manuelle,Diesel,160 000 - 169 999,Peugeot,3008,6 CV,143 000 DH,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
https://www.avito.ma/fr/hay_mohammadi/voitures_d'occasion/Fiat_Palio_2003_Diesel_54847692.htm,Manuelle,Diesel,200 000 - 249 999,Fiat,Palio,6 CV,35 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
